様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1F,ロビー,南,,,W1,57,G1,14.94,有
,,北,,,W1,99.75,G1,28.8,有
,,日陰,,,FG1,415.5,,,
1F,フロント,南,,,W1,14.25,,,
,,日陰,,,FG1,36,,,
1F,EVホール,北,,,W1,28.5,G1,5.76,無
,,日陰,,,FG1,36,,,
1F,ラウンジ,南,,,W1,47.5,G1,11.25,有
,,日陰,,,FG1,120,,,
1F,更衣室1,北,,,W1,15.2,G1,0.99,有
,,日陰,,,FG1,19.2,,,
1F,更衣室2,北,,,W1,15.2,G1,0.99,有
,,日陰,,,FG1,19.2,,,
1F,更衣室3,北,,,W1,15.2,G1,0.99,有
,,日陰,,,FG1,19.2,,,
1F,宿直室1,北,,,W1,35.625,,,
,,西,,,W1,11.875,G1,0.99,有
,,日陰,,,FG1,18.75,,,
1F,宿直室2,西,,,W1,11.875,G1,0.99,有
,,日陰,,,FG1,18.75,,,
1F,事務室1,南,,,W1,76,G1,15.96,有
,,日陰,,,FG1,132,,,
1F,リネン室,日陰,,,FG1,21,,,
1F,レストラン,南,,,W1,142.5,G1,43.7,有
,,東,,,W1,66.5,G1,17.48,有
,,日陰,,,FG1,420,,,
1F,事務室2,日陰,,,FG1,21,,,
1F,更衣室4,北,,,W1,28.5,,,
,,東,,,W1,14.25,,,
,,日陰,,,FG1,18,,,
1F,更衣室5,東,,,W1,14.25,,,
,,日陰,,,FG1,27,,,
2F,EVホール,北,,,W1,15.2,G1,2.52,無
2F,リネン室,南,,,W1,13.3,G1,1.62,無
2F,客室S01,北,,,W1,11.4,G1,2.52,有
2F,客室S02,北,,,W1,11.4,G1,2.52,有
2F,客室S03,北,,,W1,11.4,G1,2.52,有
2F,客室S04,北,,,W1,11.4,G1,2.52,有
2F,客室S05,北,,,W1,11.4,G1,2.52,有
2F,客室S06,北,,,W1,11.4,G1,2.52,有
2F,客室S07,北,,,W1,11.4,G1,2.52,有
2F,客室S08,北,,,W1,11.4,G1,2.52,有
2F,客室S09,北,,,W1,11.4,G1,2.52,有
2F,客室S10,北,,,W1,11.4,G1,2.52,有
2F,客室S11,北,,,W1,11.4,G1,2.52,有
2F,客室S12,北,,,W1,11.4,G1,2.52,有
,,東,,,W1,22.8,,,
2F,客室S13,南,,,W1,11.4,G1,2.52,有
