様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,蓄熱システム,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AR1,無,無,,,直焚吸収冷温水機(都市ガス),1番目,1,7,879,63.92,7.3,11,1540.68055555556,5.5,15,1番目,1,55,735,70.08,6,11,
EHP1-1O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,更衣室1
EHP1-2O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,更衣室2
EHP1-3O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,更衣室3
EHP1-4O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,宿直室1
EHP1-5O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,宿直室2
EHP1-6O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,事務室2
EHP1-7O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,更衣室4
EHP1-8O,無,無,,,ルームエアコン,1番目,1,,3.6,0.805,,,,,,1番目,1,,4,0.81,,,更衣室5
EHP1-9O,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,22.4,5.63,,,,,,1番目,1,,25,6.05,,,事務室1
EHP1-10O,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,45,14.4,,,,,,1番目,1,,50,12.9,,,レストラン
,,,,,,,,,,,,,,,,,,,,,,,
