様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
EHP1-1,1,室内機,3.6,4,960,3.6,,,,定風量制御,,無,無,,,,,,,,EHP1-1O,EHP1-1O,更衣室1
,1,送風機,,,150,,,0.05,,,,,,無,,,,,,,,,
EHP1-2,1,室内機,3.6,4,960,3.6,,,,定風量制御,,無,無,,,,,,,,EHP1-2O,EHP1-2O,更衣室2
,1,送風機,,,150,,,0.05,,,,,,無,,,,,,,,,
EHP1-3,1,室内機,3.6,4,960,3.6,,,,定風量制御,,無,無,,,,,,,,EHP1-3O,EHP1-3O,更衣室3
,1,送風機,,,150,,,0.05,,,,,,無,,,,,,,,,
EHP1-4,1,室内機,3.6,4,960,3.6,,,,定風量制御,,無,無,,,,,,,,EHP1-4O,EHP1-4O,宿直室1
,1,送風機,,,150,,,0.05,,,,,,無,,,,,,,,,
EHP1-5,1,室内機,3.6,4,960,3.6,,,,定風量制御,,無,無,,,,,,,,EHP1-5O,EHP1-5O,宿直室2
,1,送風機,,,150,,,0.05,,,,,,無,,,,,,,,,
EHP1-6,1,室内機,3.6,4,960,3.6,,,,定風量制御,,無,無,,,,,,,,EHP1-6O,EHP1-6O,事務室2
