２　空調,,,,,,,,,,,,
2-0　空調ゾーンシート（室統合用シート）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,（仮想）空調機名称,
,,,,,,,,,,,,
階,室名,室用途,階高,天井高,室面積,,階,空調ゾーン名,備考欄,,,
,,,,,,,,,,,室負荷処理,外気負荷処理
,,,,,,,,,,,,
,,,[m],[m],[㎡],,,,,,,
,,,,,,,,,,,,
B1F,中央監視室,中央監視室,5.5,4.8,85,,B1F,中央監視室,,,ACCI,ACCI
B1F,清掃員控室,更衣室等,5.5,2.6,22.4,,B1F,清掃員控室,,,FCU6,FCU6
B1F,書庫,更衣室等,5.5,2.6,22.1,,B1F,書庫,,,ACSI,ACSI
B1F,更衣室,更衣室等,5.5,2.6,12,,B1F,更衣室,,,FCU4,FCU4
1F,1F事務室,事務室,4,2.6,605.2,,1F,1F事務室,,,AC1F,AC1F
1F,警備員室,中央監視室,4,2.6,17.8,,1F,警備員室,,,ACKI,ACKI
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,ロビー,8,6.4,201.6,,1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,,,ACEN,ACEN
1F,1FEVﾎｰﾙ,ロビー,4,2.4,37.4,,1F,1FEVﾎｰﾙ,,,FCU8,FCU8
2F,2F会議室,会議室,4,2.6,623,,2F,2F会議室,,,AC2F,AC2F
2F,2FEVﾎｰﾙ,ロビー,4,2.4,37.4,,2F,2FEVﾎｰﾙ,,,FCU8,FCU8
3F,3F事務室,事務室,4,2.6,623,,3F,3F事務室,,,AC3F,AC3F
3F,3FEVﾎｰﾙ,ロビー,4,2.4,37.4,,3F,3FEVﾎｰﾙ,,,FCU8,FCU8
4F,4F事務室,事務室,4,2.6,623,,4F,4F事務室,,,AC4F,AC4F
4F,4FEVﾎｰﾙ,ロビー,4,2.4,37.4,,4F,4FEVﾎｰﾙ,,,FCU8,FCU8
5F,5F事務室,事務室,4,2.6,623,,5F,5F事務室,,,AC5F,AC5F
5F,5FEVﾎｰﾙ,ロビー,4,2.4,37.4,,5F,5FEVﾎｰﾙ,,,FCU8,FCU8
6F,6F事務室,事務室,4,2.6,623,,6F,6F事務室,,,AC6F,AC6F
6F,6FEVﾎｰﾙ,ロビー,4,2.4,37.4,,6F,6FEVﾎｰﾙ,,,FCU8,FCU8
7F,7F事務室,事務室,4,2.6,623,,7F,7F事務室,,,AC7F,AC7F
7F,7FEVﾎｰﾙ,ロビー,4,2.4,37.4,,7F,7FEVﾎｰﾙ,,,FCU8,FCU8
8F,8F事務室,事務室,4,2.6,495.1,,8F,8F事務室,,,AC8F,AC8F
8F,セミナールーム,事務室,4,2.6,127.9,,8F,セミナールーム,,,AC8F,AC8F
8F,8FEVﾎｰﾙ,ロビー,4,2.4,37.4,,8F,8FEVﾎｰﾙ,,,FCU8,FCU8
9F,9F食堂,食堂,4,2.6,520.4,,9F,9F食堂,,,FCU8,OCRS
9F,9FEVﾎｰﾙ,ロビー,4,2.4,37.4,,9F,9FEVﾎｰﾙ,,,FCU8,FCU8
