ID,名称,説明,x最小,x最大,x4,x3,x2,x1,a
1,Cq11,能力比特性（冷）,20,32,0,0,0,0,1
2,Cp11,入力比特性（冷）,20,32,0,0,0,0.0181,0.4476
3,Cx11,部分負荷特性（冷）,0.2,1,0,0,0.1487,0.7842,0.0649
4,Cw11,送水温度特性（冷）,2,12,0,0,0,0,1
5,Cq18,能力比特性（冷）,15,43,0,0,0,-0.0025,1.0875
6,Cp18,入力比特性（冷）,15,43,0,0,0.0001212,0.00369,0.7146
7,Cx18,部分負荷特性（冷）,0.3,1,0,0,0,1,0
8,Cw18,送水温度特性（冷）,2,12,0,0,0,0,1
9,Cq19,能力比特性（冷）,25,43,0,0,0,-0.0091,1.3132
10,Cp19,入力比特性（冷）,-5,43,0,0,0.0001212,0.00369,0.7146
11,Cx19,部分負荷特性（冷）,0.3,1,0,0,0,1,0
12,Cw19,送水温度特性（冷）,2,12,0,0,0,0,1
13,Hq11,能力比特性（温）,-20,15,0,0,0,0,1
14,Hp11,入力比特性（温）,-20,15,0,0,0,0,1
15,Hx11,部分負荷特性（温）,0.2,1,0,0,0,1,0
16,Hw11,送水温度特性（温）,20,60,0,0,0,0,1
17,Hq18,能力比特性（温）,-20,15,0,0,0,0.0255,0.8475
18,Hp18,入力比特性（温）,-20,15,0,0,0,0.0128,0.922
19,Hx18,部分負荷特性（温）,0.3,1,0,0,0,1,0
20,Hw18,送水温度特性（温）,20,60,0,0,0,0,1
21,Hq19,能力比特性（温）,-8,18,0,0.000006,-0.00002407,-0.0036,1.021
22,Hp19,入力比特性（温）,-8,18,0,0.00005,-0.00007,-0.0438,1.255
23,Hx19,部分負荷特性（温）,0.3,1,0,0,0,1,0
24,Hw19,送水温度特性（温）,20,60,0,0,0,0,1
25,Cq6,能力比特性（冷）,15,43,0,0,0,-0.0025,1.0875
26,Cp6,入力比特性（冷）,15,43,0,0,0.0001212,0.00369,0.7146
27,Cx6,部分負荷特性（冷）,0.2,1,0,0,0,1,0
28,Cw6,送水温度特性（冷）,2,12,0,0,0,0,1
29,Hq6,能力比特性（温）,-20,15,0,0,0,0.0255,0.8475
30,Hp6,入力比特性（温）,-20,15,0,0,0,0.0128,0.922
31,Hx6,部分負荷特性（温）,0.2,1,0,0,0,1,0
32,Hw6,送水温度特性（温）,20,60,0,0,0,0,1
