建物用途,建物小用途,1地域,2地域,3地域,4地域,5地域,6地域,7地域,8地域
Office,,430,430,430,450,450,450,450,590
Hotel,GuestRoom,560,560,560,450,450,450,500,690
Hotel,BanquetHall,960,960,960,1250,1250,1250,1450,2220
Hospital,Hospital,790,790,790,770,770,770,790,980
Hospital,NonHospital,420,420,420,430,430,430,440,670
Store,,610,610,610,710,710,710,820,1300
School,,390,390,390,450,450,450,500,690
Restaurant,,680,680,680,810,810,810,910,1440
MeetingPlace,Library,540,540,540,550,550,550,550,670
MeetingPlace,Arena,770,770,770,900,900,900,900,1100
MeetingPlace,MovieTheater,1470,1470,1470,1500,1500,1500,1500,2100
