建物用途,建物小用途,1地域,2地域,3地域,4地域,5地域,6地域,7地域,8地域
Office,,480,480,480,470,470,470,450,570
Hotel,GuestRoom,650,650,650,500,500,500,510,670
Hotel,BanquetHall,990,990,990,1260,1260,1260,1470,2220
Hospital,Hospital,900,900,900,830,830,830,800,980
Hospital,NonHospital,460,460,460,450,450,450,440,650
Store,,640,640,640,720,720,720,810,1290
School,,420,420,420,470,470,470,500,630
Restaurant,,710,710,710,820,820,820,900,1430
MeetingPlace,Library,590,590,590,580,580,580,550,650
MeetingPlace,Arena,790,790,790,910,910,910,910,1000
MeetingPlace,MovieTheater,1490,1490,1490,1510,1510,1510,1510,2090
