ID,名称,説明,x4,x3,x2,x1,a
1,Cq_AS_A,能力比特性（冷）,0,0,0,-0.0091,1.3185
2,Cq_AS_B,能力比特性（冷）,0,0,0,-0.0025,1.0875
3,Cq_WS_A,能力比特性（冷）,0,0,0,-0.0057,1.171
4,Cq_WS_B,能力比特性（冷）,0,0,0,-0.005,1.16
5,Cq_WS_C,能力比特性（冷）,0,0,0,0,1
6,Cp_AS_A,入力比特性（冷）,0,0,0.000296,0.0004,0.6234
7,Cp_AS_B,入力比特性（冷）,0,0,0.0001212,0.00369,0.72238
8,Cp_WS_A,入力比特性（冷）,0,0,0,0.0191,0.427
9,Cp_WS_B,入力比特性（冷）,0,0,0.000175,0.0095,0.5168
10,Cp_WS_C,入力比特性（冷）,0,0,0.0004,0.0096,0.2832
11,Cp_WS_D,入力比特性（冷）,0,0,0,0.012333333,0.605333333
12,Cp_WS_E,入力比特性（冷）,0,0,0,0,1
13,Cx_AS_A,部分負荷特性（冷）,0,0,0.3344,0.4707,0.1949
14,Cx_AS_B,部分負荷特性（冷）,0,0,0.1726,0.7688,0.0586
15,Cx_AS_C,部分負荷特性（冷）,0,0,0.8573,-0.0456,0.1883
16,Cx_WS_A,部分負荷特性（冷）,0,0,0.2216625,0.691925,0.0864125
17,Cx_WS_B,部分負荷特性（冷）,0,0.218766667,0.0032,0.519066667,0.258966667
18,Cx_WS_C,部分負荷特性（冷）,0,0,0.4485,-0.3268,0.8783
19,Cx_WS_D,部分負荷特性（冷）,0,0,0.3806,0.2455,0.3739
20,Cw_AS_A,送水温度特性（冷）,0,0,0,-0.0015,1.0105
21,Cw_WS_A,送水温度特性（冷）,0,0,0,-0.036,1.2541
22,Cw_WS_B,送水温度特性（冷）,0,0,0,-0.012757143,1.0893
23,Cw_WS_C,送水温度特性（冷）,0,0,0,-0.036,0.823
24,Cw_WS_D,送水温度特性（冷）,0,0,0,-0.036,1.1815
25,Hq_AS_A1,能力比特性（温）,0,0,0,0.0255,0.847
26,Hq_AS_A2,能力比特性（温）,0,0,0,0.0153,0.762
27,Hq_AS_A3,能力比特性（温）,0,0,0,0.0255,0.847
28,Hq_AS_B1,能力比特性（温）,0,0,0,0.0255,0.847
29,Hq_AS_B2,能力比特性（温）,0,0,0,0.0153,0.762
30,Hq_AS_B3,能力比特性（温）,0,0,0,0.0255,0.847
31,Hq_AS_C1,能力比特性（温）,0,0,0,0.0215,0.871
32,Hq_AS_C2,能力比特性（温）,0,0,0,0.01035,0.7818
33,Hq_AS_C3,能力比特性（温）,0,0,0,0.0215,0.871
34,Hq_AS_D,能力比特性（温）,0,0,0,-0.002692308,1.016153846
35,Hq_boilerA,能力比特性（温）,0,0,0,0,1
36,Hp_AS_A,入力比特性（温）,0,0,0,0.0042,0.9748
37,Hp_AS_B,入力比特性（温）,0,0,0,0.0128,0.9232
38,Hp_AS_C,入力比特性（温）,0,0,0.000888994,-0.043168208,1.22700547
39,Hp_boilerA,入力比特性（温）,0,0,0,0,1
40,Hx_AS_A,部分負荷特性（温）,-2.1702,5.7835,-5.0347,2.3429,0.0785
41,Hx_AS_B,部分負荷特性（温）,0,0,0.2094,0.7519,0.0387
42,Hx_AS_C,部分負荷特性（温）,0,0,0.7823,0.0398,0.1779
43,Hx_boilerA,部分負荷特性（温）,0,0,0,1,0
44,Hw_AS_A,送水温度特性（温）,0,0,0.0006,-0.0303,1.1485
45,Hw_boilerA,送水温度特性（温）,0,0,0,0,1
