検索キー,建物用途コード,室分類コード,負荷種別コード,室使用パターンコード,負荷種別,室使用パターン名称,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,SchedTime1,SchedPercent1,SchedTime2,SchedPercent2,SchedTime3,SchedPercent3,SchedTime4,SchedPercent4,SchedTime5,SchedPercent5,SchedTime6,SchedPercent6,SchedTime7,SchedPercent7,SchedTime8,SchedPercent8,SchedTime9,SchedPercent9,SchedTime10,SchedPercent10,SchedTime11,SchedPercent11,SchedTime12,(旧)検索キー,(旧)室分類コード
O-1,Office,1,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-1-1-1,1
O-1,Office,1,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-1-1-2,1
O-1,Office,1,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-1-1-3,1
O-1,Office,1,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,0.5,1,1,1,1,1,1,1,0.8,0,0,0,1,0,8,100,12,50,13,100,20,80,21,0,24,,,,,,,,,,,1-1-2-1,1
O-1,Office,1,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-1-2-2,1
O-1,Office,1,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-1-2-3,1
O-1,Office,1,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,0.6,1,1,1,1,1,0.5,0.3,0.2,0,0,0,1,0,8,100,12,60,13,100,18,50,19,30,20,20,21,0,24,,,,,,,1-1-3-1,1
O-1,Office,1,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-1-3-2,1
O-1,Office,1,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-1-3-3,1
O-1,Office,1,4,1,機器発熱密度比率,室使用パターン1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,1,0.8,1,1,1,1,1,1,0.5,0.5,0.25,0.25,0.25,1,25,8,100,12,80,13,100,19,50,21,25,24,,,,,,,,,,,1-1-4-1,1
O-1,Office,1,4,2,機器発熱密度比率,室使用パターン2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,25,24,,,,,,,,,,,,,,,,,,,,,1-1-4-2,1
