検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,空調Ia基準値 [MJ/m2/年],空調Iｂ基準値 [MJ/m2/年],空調II基準値 [MJ/m2/年],空調III基準値 [MJ/m2/年],空調IVa基準値 [MJ/m2/年],空調IVb基準値 [MJ/m2/年],空調V基準値 [MJ/m2/年],空調VI基準値 [MJ/m2/年],給湯Ia基準値 [MJ/m2/年],給湯Iｂ基準値 [MJ/m2/年],給湯II基準値 [MJ/m2/年],給湯III基準値 [MJ/m2/年],給湯IVa基準値 [MJ/m2/年],給湯IVb基準値 [MJ/m2/年],給湯V基準値 [MJ/m2/年],給湯VI基準値 [MJ/m2/年],照明基準値 [MJ/m2/年],換気基準値 [MJ/m2/年]
O-1,Office,1,事務所等,事務室,892,863,895,925,974,1042,1071,1325,20,20,19,18,17,16,14,12,498,0
O-2,Office,2,事務所等,電算事務室,941,912,1067,1104,1195,1276,1300,1633,20,20,19,18,17,16,14,12,498,0
O-3,Office,3,事務所等,会議室,1003,965,928,952,979,1037,1072,1389,51,50,47,45,43,39,36,29,231,0
O-4,Office,4,事務所等,喫茶室,1003,965,928,952,979,1037,1072,1389,1712,1678,1572,1531,1454,1322,1209,978,254,0
O-5,Office,5,事務所等,社員食堂,409,387,367,375,378,413,423,537,2568,2517,2358,2297,2180,1983,1813,1467,141,0
O-6,Office,6,事務所等,中央監視室,2257,2317,2822,2945,3172,3370,3551,4387,46,45,42,41,39,36,33,26,1171,0
O-7,Office,7,事務所等,更衣室,808,771,799,826,852,903,928,1151,995,975,914,890,845,768,702,569,202,138
O-8,Office,8,事務所等,廊下,725,678,672,688,677,701,706,853,0,0,0,0,0,0,0,0,245,0
O-9,Office,9,事務所等,ロビー,725,678,672,688,677,701,706,853,6,6,6,5,5,5,4,3,547,0
O-10,Office,10,事務所等,便所,725,678,672,688,677,701,706,853,0,0,0,0,0,0,0,0,367,413
O-11,Office,11,事務所等,喫煙室,725,678,672,688,677,701,706,853,0,0,0,0,0,0,0,0,202,826
O-12,Office,12,事務所等,厨房,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,3514
O-13,Office,13,事務所等,屋内駐車場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1366
O-14,Office,14,事務所等,機械室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,769
O-15,Office,15,事務所等,電気室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1539
O-16,Office,16,事務所等,湯沸室等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,88
O-17,Office,17,事務所等,食品庫等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,176
O-18,Office,18,事務所等,コピー室等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,176
O-19,Office,19,事務所等,ゴミ置場等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,527
H-1,Hotel,1,ホテル等,客室,3181,2818,2055,2025,2003,1938,1801,1923,936,917,859,837,795,723,661,535,308,0
H-2,Hotel,2,ホテル等,洗面室,3181,2818,2055,2025,2003,1938,1801,1923,936,917,859,837,795,723,661,535,342,385
H-3,Hotel,3,ホテル等,客室部フロント,4398,4323,4732,4838,5350,5488,5574,6615,0,0,0,0,0,0,0,0,1710,0
H-4,Hotel,4,ホテル等,客室部事務室,1553,1548,1745,1862,1994,2167,2366,3020,62,60,57,55,52,48,43,35,1394,0
H-5,Hotel,5,ホテル等,客室部廊下,1884,1864,2000,2067,2266,2390,2532,3208,0,0,0,0,0,0,0,0,513,0
H-6,Hotel,6,ホテル等,客室部ロビー,4398,4323,4732,4838,5350,5488,5574,6615,31,30,28,28,26,24,22,18,1026,0
H-7,Hotel,7,ホテル等,客室部便所,4398,4323,4732,4838,5350,5488,5574,6615,0,0,0,0,0,0,0,0,1026,1154
H-8,Hotel,8,ホテル等,客室部喫煙室,4398,4323,4732,4838,5350,5488,5574,6615,0,0,0,0,0,0,0,0,564,2308
H-9,Hotel,9,ホテル等,宴会場,5262,5327,6384,6589,7304,7591,7885,9580,216,211,198,193,183,166,152,123,1282,0
H-10,Hotel,10,ホテル等,大会議室,4296,4352,5114,5321,5937,6228,6488,7965,216,211,198,193,183,166,152,123,1282,0
H-11,Hotel,11,ホテル等,結婚式場,4057,4044,4579,4724,5161,5405,5530,6682,92,91,85,83,78,71,65,53,1282,0
H-12,Hotel,12,ホテル等,レストラン,4167,4047,4046,4167,4498,4709,4938,6267,3889,3813,3572,3479,3302,3003,2746,2222,556,0
H-13,Hotel,13,ホテル等,ラウンジ,2707,2690,2899,3003,3283,3473,3672,4576,62,60,57,55,52,48,43,35,598,0
