ID,名称,WCON名,第1層材番,第1層厚,第2層材番,第2層厚,第3層材番,第3層厚,第4層材番,第4層厚,第5層材番,第5層厚,第6層材番,第6層厚,第7層材番,第7層厚,第8層材番,第8層厚,第9層材番,第9層厚,第10層材番,第10層厚,第11層材番,第11層厚
1,AIJ_A,A,31,12,91,,82,25,22,150,27,20,36,8,,,,,,,,,,
2,AIJ_B,B,82,25,22,150,27,20,36,8,,,,,,,,,,,,,,
3,IBEC2F外壁,OW1J,41,1,32,12,92,65,85,10,22,60,36,45,,,,,,,,,,
4,IBEC2F屋根,RF1J,75,10,32,12,92,,22,140,83,25,43,10,22,85,,,,,,,,
5,一般・暑熱地域外壁_吹付け硬質ウレタン発砲板15mm,WAL,32,12,92,,85,15,22,150,27,20,36,8,,,,,,,,,,
6,内壁_天井面,CEI,75,12,32,9,92,,22,150,41,3,,,,,,,,,,,,
7,内壁_床面,FLO,41,3,22,150,92,,32,9,75,12,,,,,,,,,,,,
8,事務所_Ia_Ib_R02,R02,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,
9,事務所_Ia_Ib_W02,W02,32,8,92,,82,50,22,150,27,25,36,10,,,,,,,,,,
10,事務所_Ia_Ib_C02,C02,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
11,事務所_Ia_Ib_F02,F02,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
12,事務所_Ia_Ib_GF02,GF02,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
13,事務所_II_III_R03,R03,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
14,事務所_II_III_W03,W03,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
15,事務所_II_III_C03,C03,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
16,事務所_II_III_F03,F03,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
17,事務所_II_III_GF03,GF03,41,3,27,27,22,150,,,,,,,,,,,,,,,,
18,事務所_IVa_IVb_V_R01,R01,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
19,事務所_IVa_IVb_V_W01,W01,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
20,事務所_IVa_IVb_V_C01,C01,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
21,事務所_IVa_IVb_V_F01,F01,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
22,事務所_IVa_IVb_V_GF01,GF01,41,3,27,27,22,150,,,,,,,,,,,,,,,,
23,事務所_VI_R04,R04,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,
24,事務所_VI_W04,W04,32,8,92,,22,150,27,25,36,10,,,,,,,,,,,,
25,事務所_VI_C04,C04,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
26,事務所_VI_F04,F04,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
27,事務所_VI_GF04,GF04,41,3,27,27,22,150,,,,,,,,,,,,,,,,
28,ホテル_Ia_Ib_R06,R06,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,
29,ホテル_Ia_Ib_W06,W06,32,8,92,,82,50,22,150,27,25,36,10,,,,,,,,,,
30,ホテル_Ia_Ib_C06,C06,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
31,ホテル_Ia_Ib_F06,F06,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
32,ホテル_Ia_Ib_GF06,GF06,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
33,ホテル_II_III_R07,R07,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
34,ホテル_II_III_W07,W07,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
35,ホテル_II_III_C07,C07,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
36,ホテル_II_III_F07,F07,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
37,ホテル_II_III_GF07,GF07,41,3,27,27,22,150,,,,,,,,,,,,,,,,
38,ホテル_IVa_IVb_V_R05,R05,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
39,ホテル_IVa_IVb_V_W05,W05,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
40,ホテル_IVa_IVb_V_C05,C05,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
41,ホテル_IVa_IVb_V_F05,F05,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
42,ホテル_IVa_IVb_V_GF05,GF05,41,3,27,27,22,150,,,,,,,,,,,,,,,,
43,ホテル_VI_R08,R08,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,
44,ホテル_VI_W08,W08,32,8,92,,22,150,27,25,36,10,,,,,,,,,,,,
45,ホテル_VI_C08,C08,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
46,ホテル_VI_F08,F08,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
47,ホテル_VI_GF08,GF08,41,3,27,27,22,150,,,,,,,,,,,,,,,,
48,飲食店_Ia_Ib_R10,R10,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,
49,飲食店_Ia_Ib_W10,W10,32,8,92,,82,50,22,150,27,25,36,10,,,,,,,,,,
50,飲食店_Ia_Ib_C10,C10,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
51,飲食店_Ia_Ib_F10,F10,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
52,飲食店_Ia_Ib_GF10,GF10,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
53,飲食店_II_III_R11,R11,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
54,飲食店_II_III_W11,W11,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
55,飲食店_II_III_C11,C11,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
56,飲食店_II_III_F11,F11,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
57,飲食店_II_III_GF11,GF11,41,3,27,27,22,150,,,,,,,,,,,,,,,,
58,飲食店_IVa_IVb_V_R09,R09,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
59,飲食店_IVa_IVb_V_W09,W09,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
60,飲食店_IVa_IVb_V_C09,C09,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
61,飲食店_IVa_IVb_V_F09,F09,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
62,飲食店_IVa_IVb_V_GF09,GF09,41,3,27,27,22,150,,,,,,,,,,,,,,,,
63,飲食店_VI_R12,R12,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,
64,飲食店_VI_W12,W12,32,8,92,,22,150,27,25,36,10,,,,,,,,,,,,
65,飲食店_VI_C12,C12,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
66,飲食店_VI_F12,F12,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
67,飲食店_VI_GF12,GF12,41,3,27,27,22,150,,,,,,,,,,,,,,,,
68,学校_Ia_Ib_幼稚園_R14,R14,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,
69,学校_Ia_Ib_幼稚園_W14,W14,32,8,92,,82,50,22,150,27,25,36,10,,,,,,,,,,
70,学校_Ia_Ib_幼稚園_C14,C14,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
71,学校_Ia_Ib_幼稚園_F14,F14,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
72,学校_Ia_Ib_幼稚園_GF14,GF14,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
73,学校_II_III_幼稚園_R15,R15,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
74,学校_II_III_幼稚園_W15,W15,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
75,学校_II_III_幼稚園_C15,C15,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
76,学校_II_III_幼稚園_F15,F15,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
77,学校_II_III_幼稚園_GF15,GF15,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
78,学校_IVa_IVb_V_幼稚園_R13,R13,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
79,学校_IVa_IVb_V_幼稚園_W13,W13,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
80,学校_IVa_IVb_V_幼稚園_C13,C13,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
81,学校_IVa_IVb_V_幼稚園_F13,F13,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
82,学校_IVa_IVb_V_幼稚園_GF13,GF13,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
83,学校_VI_幼稚園_R16,R16,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,
84,学校_VI_幼稚園_W16,W16,32,8,92,,22,150,27,25,36,10,,,,,,,,,,,,
85,学校_VI_幼稚園_C16,C16,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
86,学校_VI_幼稚園_F16,F16,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
87,学校_VI_幼稚園_GF16,GF16,41,3,27,27,22,150,,,,,,,,,,,,,,,,
88,学校_Ia_Ib_小_中_高_大_R18,R18,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,
89,学校_Ia_Ib_小_中_高_大_W18,W18,32,8,92,,82,50,22,150,27,25,36,10,,,,,,,,,,
90,学校_Ia_Ib_小_中_高_大_C18,C18,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
91,学校_Ia_Ib_小_中_高_大_F18,F18,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
92,学校_Ia_Ib_小_中_高_大_GF18,GF18,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
93,学校_II_III_小_中_高_大_R19,R19,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
94,学校_II_III_小_中_高_大_W19,W19,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
95,学校_II_III_小_中_高_大_C19,C19,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
96,学校_II_III_小_中_高_大_F19,F19,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
97,学校_II_III_小_中_高_大_GF19,GF19,41,3,27,27,22,150,,,,,,,,,,,,,,,,
98,学校_IVa_IVb_V_小_中_高_大_R17,R17,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
99,学校_IVa_IVb_V_小_中_高_大_W17,W17,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
100,学校_IVa_IVb_V_小_中_高_大_C17,C17,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
101,学校_IVa_IVb_V_小_中_高_大_F17,F17,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
102,学校_IVa_IVb_V_小_中_高_大_GF17,GF17,41,3,27,27,22,150,,,,,,,,,,,,,,,,
103,学校_VI_小_中_高_大_R20,R20,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,
