ブラインド内側一般窓の熱性能,,,,熱貫流率[W/m2K],,日射熱取得率[-],,,
No.,タイプ,ガラス品種,板厚[ミリ],ガラスのみ,ブラインドあり,ガラスのみ,明色ブラインド,中間色ブラインド,暗色ブラインド
1,単層,透明,3,5.95,4.2,0.876,0.432,0.506,0.576
2,単層,透明,5,5.88,4.17,0.846,0.423,0.493,0.559
3,単層,透明,6,5.85,4.15,0.837,0.421,0.489,0.553
4,単層,透明,8,5.78,4.12,0.812,0.413,0.477,0.538
5,単層,透明,10,5.71,4.08,0.785,0.404,0.465,0.522
6,単層,透明,12,5.65,4.05,0.761,0.397,0.454,0.508
7,単層,透明,15,5.55,4,0.736,0.388,0.442,0.493
8,単層,透明,19,5.43,3.94,0.713,0.38,0.431,0.479
11,単層,網入り,6.8,5.82,4.14,0.788,0.412,0.471,0.526
12,単層,網入り,10,5.71,4.08,0.752,0.4,0.453,0.504
21,単層,高透過,3,5.95,4.2,0.911,0.451,0.528,0.6
22,単層,高透過,5,5.88,4.17,0.906,0.45,0.525,0.597
23,単層,高透過,6,5.85,4.15,0.904,0.449,0.525,0.596
24,単層,高透過,8,5.78,4.12,0.899,0.448,0.522,0.593
25,単層,高透過,10,5.71,4.08,0.895,0.447,0.52,0.59
26,単層,高透過,12,5.65,4.05,0.891,0.445,0.519,0.588
31,単層,熱吸グリーン,6,5.85,4.15,0.59,0.337,0.369,0.399
32,単層,熱吸グリーン,8,5.78,4.12,0.537,0.315,0.341,0.366
33,単層,熱吸グリーン,10,5.71,4.08,0.497,0.299,0.321,0.341
34,単層,熱吸グリーン,12,5.65,4.05,0.466,0.286,0.304,0.322
41,単層,熱反シルバー,6,5.85,4.15,0.698,0.389,0.436,0.479
42,単層,熱反シルバー,8,5.78,4.12,0.681,0.383,0.427,0.468
43,単層,熱反シルバー,10,5.71,4.08,0.664,0.376,0.418,0.458
44,単層,熱反シルバー,12,5.65,4.05,0.647,0.37,0.41,0.447
51,単層,可視光透過率40%,6,5.61,4.02,0.49,0.306,0.327,0.347
52,単層,可視光透過率40%,8,5.55,3.99,0.481,0.302,0.322,0.341
53,単層,可視光透過率40%,10,5.49,3.95,0.473,0.298,0.318,0.336
54,単層,可視光透過率40%,12,5.43,3.92,0.465,0.295,0.314,0.331
55,単層,可視光透過率30%,6,5.4,3.9,0.383,0.253,0.266,0.278
56,単層,可視光透過率30%,8,5.34,3.87,0.378,0.251,0.264,0.275
57,単層,可視光透過率30%,10,5.29,3.84,0.375,0.25,0.262,0.273
58,単層,可視光透過率30%,12,5.23,3.81,0.371,0.248,0.26,0.271
59,単層,可視光透過率20%,6,5.08,3.7,0.302,0.209,0.218,0.226
60,単層,可視光透過率20%,8,5.03,3.68,0.3,0.209,0.217,0.225
61,単層,可視光透過率20%,10,4.98,3.65,0.299,0.209,0.216,0.224
62,単層,可視光透過率20%,12,4.93,3.62,0.298,0.208,0.216,0.223
63,単層,可視光透過率8%,6,4.66,3.44,0.195,0.143,0.146,0.15
64,単層,可視光透過率8%,8,4.61,3.41,0.198,0.145,0.149,0.152
65,単層,可視光透過率8%,10,4.57,3.39,0.2,0.147,0.151,0.154
66,単層,可視光透過率8%,12,4.53,3.37,0.202,0.149,0.152,0.155
81,単層,セラミック印刷（白面積30%）,6,5.85,4.15,0.688,0.388,0.431,0.472
82,単層,セラミック印刷（白面積30%）,8,5.78,4.12,0.672,0.382,0.423,0.462
83,単層,セラミック印刷（白面積30%）,10,5.71,4.08,0.657,0.377,0.416,0.452
84,単層,セラミック印刷（白面積30%）,12,5.65,4.05,0.643,0.371,0.409,0.444
