記号,説明,樹脂,,,,複合,,,,アルミ,,,,ガラス,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3WgG06,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層6mm）,2,1.8,0.39,0.3,2.3,2.1,0.43,0.33,2.7,2.4,0.43,0.33,1.4,1.3,0.54,0.41
3WgG07,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層7mm）,1.9,1.7,0.39,0.3,2.2,2,0.43,0.33,2.6,2.3,0.43,0.33,1.3,1.2,0.54,0.41
3WgG08,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層8mm）,1.8,1.7,0.39,0.3,2.1,1.9,0.43,0.33,2.5,2.2,0.43,0.33,1.2,1.1,0.54,0.41
3WgG09,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層9mm）,1.7,1.6,0.39,0.3,2.1,1.9,0.43,0.33,2.4,2.2,0.43,0.33,1.1,1,0.54,0.41
3WgG10,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層10mm）,1.7,1.6,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,1,0.96,0.54,0.41
3WgG11,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層11mm）,1.7,1.5,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.95,0.91,0.54,0.41
3WgG12,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層12mm）,1.6,1.5,0.39,0.3,1.9,1.8,0.43,0.33,2.3,2,0.43,0.33,0.9,0.86,0.54,0.41
3WgG13,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層13mm）,1.6,1.5,0.39,0.3,1.9,1.7,0.43,0.33,2.2,2,0.43,0.33,0.86,0.83,0.54,0.41
3WgG14,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層14mm）,1.6,1.5,0.39,0.3,1.9,1.7,0.43,0.33,2.2,2,0.43,0.33,0.82,0.79,0.54,0.41
3WgG15,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層15mm）,1.6,1.4,0.39,0.3,1.8,1.7,0.43,0.33,2.2,2,0.43,0.33,0.79,0.76,0.54,0.41
3WgG16,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層16mm）,1.5,1.4,0.39,0.3,1.8,1.7,0.43,0.33,2.2,1.9,0.43,0.33,0.76,0.73,0.54,0.41
3WsG06,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層6mm）,2,1.8,0.24,0.19,2.3,2.1,0.26,0.21,2.7,2.4,0.26,0.21,1.4,1.3,0.33,0.26
