ID,名称,窓種,品種番号,ブラインド
1,単板_3_ブラインドなし,SNGL,1,0
2,単板_6_ブラインドなし,SNGL,3,0
3,単板_12_ブラインドなし,SNGL,6,0
4,複層_3+6+3_ブラインドなし,DL06,1,0
5,複層_6+6+6_ブラインドなし,DL06,3,0
6,複層_12+6+12_ブラインドなし,DL12,11,0
7,単板_3_ブラインド明色,SNGL,1,1
8,単板_6_ブラインド明色,SNGL,3,1
9,単板_12_ブラインド明色,SNGL,6,1
10,複層_3+6+3_ブラインド明色,DL06,1,1
11,複層_6+6+6_ブラインド明色,DL06,3,1
12,複層_12+6+12_ブラインド明色,DL12,11,1
13,単板_3_ブラインド中間色,DL12,11,0
14,単板_6_ブラインド中間色,SNGL,3,2
15,単板_12_ブラインド中間色,SNGL,6,2
16,複層_3+6+3_ブラインド中間色,DL06,1,2
17,複層_6+6+6_ブラインド中間色,DL06,3,2
18,複層_12+6+12_ブラインド中間色,DL12,11,2
19,単板_3_ブラインド暗色,SNGL,1,3
20,単板_6_ブラインド暗色,SNGL,3,3
21,単板_12_ブラインド暗色,SNGL,6,3
22,複層_3+6+3_ブラインド暗色,DL06,1,3
23,複層_6+6+6_ブラインド暗色,DL06,3,3
24,複層_12+6+12_ブラインド暗色,DL12,11,3
