YEAR,MO,DY,YB,HR,,ROOM-T,CLOD-S,RHEX-S,AHEX-S,FS,ROOM-H,CLOD-L,RHEX-L,AHEX-L,FL,MRT'
   0, 1, 1,3, 1,0, 18.54, -22.9,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 18.02
   0, 1, 1,3, 2,0, 18.30, -23.2,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.87
   0, 1, 1,3, 3,0, 18.07, -23.6,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.69
   0, 1, 1,3, 4,0, 17.81, -24.3,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.46
   0, 1, 1,3, 5,0, 17.56, -24.9,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.23
   0, 1, 1,3, 6,0, 17.34, -25.0,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.05
   0, 1, 1,3, 7,0, 17.13, -25.3,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 16.85
   0, 1, 1,3, 8,0, 18.28,  -9.5,   0.0,   0.0, 9,  6.83,   2.8,   0.0,   0.0, 9, 18.70
   0, 1, 1,3, 9,0, 22.00,  34.6,   4.3, -27.5,10,  6.66,   5.6,   8.5,  -5.6,10, 24.40
   0, 1, 1,3,10,0, 22.00,  87.9,  72.4,  43.6,10,  6.66,   5.6,   6.0,  -8.1,10, 30.07
   0, 1, 1,3,11,0, 22.00, 115.3, 101.6,  76.2,10,  6.66,   5.6,   5.6,  -9.5,10, 32.74
   0, 1, 1,3,12,0, 22.00, 111.2,  99.2,  75.9,10,  6.66,   4.5,   4.5, -11.3,10, 32.32
   0, 1, 1,3,13,0, 22.00, 122.5, 111.8,  89.9,10,  6.66,   4.5,   4.5, -11.7,10, 33.47
   0, 1, 1,3,14,0, 22.00, 112.6, 103.3,  82.4,10,  6.66,   5.6,   5.6, -11.4,10, 32.53
   0, 1, 1,3,15,0, 22.00,  58.5,  50.3,  29.7,10,  6.66,   5.6,   5.6, -11.4,10, 27.17
   0, 1, 1,3,16,0, 22.00,  27.9,  20.8,  -0.5,10,  6.66,   5.6,   5.6, -10.0,10, 24.17
   0, 1, 1,3,17,0, 22.00,  14.0,   7.9, -14.8,10,  6.66,   5.6,   5.6,  -8.5,10, 22.85
   0, 1, 1,3,18,0, 22.00,   0.3,  -4.9, -29.3,10,  6.66,   4.2,   4.2,  -9.5,10, 21.55
   0, 1, 1,3,19,0, 22.00,  -5.9, -10.4, -36.1,10,  6.66,   2.2,   2.2, -10.8,10, 20.98
   0, 1, 1,3,20,0, 22.00,  -9.1, -12.8, -39.0,10,  6.66,   1.4,   1.4, -11.2,10, 20.73
   0, 1, 1,3,21,0, 22.00, -10.8, -14.0, -40.1,10,  6.66,   1.1,   1.1, -11.3,10, 20.61
   0, 1, 1,3,22,0, 20.57, -14.1,   0.0,   0.0, 9,  6.69,   0.6,   0.0,   0.0, 9, 19.86
   0, 1, 1,3,23,0, 19.87, -16.8,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 19.25
   0, 1, 1,3,24,0, 19.51, -17.7,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 19.01
   0, 1, 2,3, 1,0, 19.23, -18.7,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 18.81
   0, 1, 2,3, 2,0, 18.99, -19.4,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 18.62
   0, 1, 2,3, 3,0, 18.78, -19.9,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 18.45
   0, 1, 2,3, 4,0, 18.57, -20.4,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 18.27
   0, 1, 2,3, 5,0, 18.36, -20.8,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 18.09
   0, 1, 2,3, 6,0, 18.17, -21.1,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.91
   0, 1, 2,3, 7,0, 17.96, -21.6,   0.0,   0.0, 9,  6.69,   0.0,   0.0,   0.0, 9, 17.71
   0, 1, 2,3, 8,0, 19.57,  -0.8,   0.0,   0.0, 9,  6.83,   2.8,   0.0,   0.0, 9, 20.24
   0, 1, 2,3, 9,0, 22.00,  14.7,  -7.2, -35.9,10,  6.66,   5.6,   8.5,  -4.6,10, 22.70
   0, 1, 2,3,10,0, 22.00,  10.7,  -1.2, -28.0,10,  6.66,   5.6,   6.0,  -7.5,10, 22.50
   0, 1, 2,3,11,0, 22.00,  14.0,   3.5, -22.1,10,  6.66,   5.6,   5.6,  -8.9,10, 22.78
