検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,空調Ia基準値 [MJ/m2/年],空調Iｂ基準値 [MJ/m2/年],空調II基準値 [MJ/m2/年],空調III基準値 [MJ/m2/年],空調IVa基準値 [MJ/m2/年],空調IVb基準値 [MJ/m2/年],空調V基準値 [MJ/m2/年],空調VI基準値 [MJ/m2/年],給湯Ia基準値 [MJ/m2/年],給湯Iｂ基準値 [MJ/m2/年],給湯II基準値 [MJ/m2/年],給湯III基準値 [MJ/m2/年],給湯IVa基準値 [MJ/m2/年],給湯IVb基準値 [MJ/m2/年],給湯V基準値 [MJ/m2/年],給湯VI基準値 [MJ/m2/年],照明基準値 [MJ/m2/年],換気基準値 [MJ/m2/年]
O-1,1,1,事務所等,事務室,809 ,814 ,815 ,843 ,913 ,964 ,981 ,981 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,498 ,0 
O-2,1,2,事務所等,事務室（高発熱）,818 ,825 ,926 ,996 ,1042 ,1125 ,1155 ,1155 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,333 ,0 
O-3,1,3,事務所等,会議室,905 ,896 ,858 ,883 ,960 ,1016 ,1028 ,1028 ,39 ,39 ,39 ,39 ,39 ,39 ,39 ,39 ,231 ,0 
O-4,1,4,事務所等,喫茶室,905 ,896 ,858 ,883 ,960 ,1016 ,1028 ,1028 ,1322 ,1322 ,1322 ,1322 ,1322 ,1322 ,1322 ,1322 ,93 ,0 
O-5,1,5,事務所等,電算室,10679 ,10757 ,12981 ,12981 ,14591 ,14597 ,14595 ,14595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,932 ,0 
O-6,1,6,事務所等,中央監視室,1633 ,1689 ,2030 ,2184 ,2215 ,2391 ,2495 ,2495 ,36 ,36 ,36 ,36 ,36 ,36 ,36 ,36 ,1171 ,0 
O-7,1,7,事務所等,更衣室等,715 ,716 ,713 ,750 ,807 ,856 ,875 ,875 ,768 ,768 ,768 ,768 ,768 ,768 ,768 ,768 ,135 ,8 
O-8,1,8,事務所等,食堂,376 ,366 ,358 ,360 ,403 ,413 ,407 ,407 ,1983 ,1983 ,1983 ,1983 ,1983 ,1983 ,1983 ,1983 ,85 ,0 
O-9,1,9,事務所等,廊下,637 ,633 ,609 ,634 ,673 ,716 ,725 ,725 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,67 ,0 
O-10,1,10,事務所等,ロビー,611 ,604 ,585 ,583 ,652 ,672 ,667 ,667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,336 ,0 
O-11,1,11,事務所等,トイレ,611 ,604 ,585 ,583 ,652 ,672 ,667 ,667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,135 ,15 
O-12,1,12,事務所等,喫煙室,611 ,604 ,585 ,583 ,652 ,672 ,667 ,667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,135 ,46 
O-13,1,13,事務所等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,215 ,245 
O-14,1,14,事務所等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,97 ,129 
O-15,1,15,事務所等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,21 
O-16,1,16,事務所等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,43 
O-17,1,17,事務所等,階段,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,72 ,0 
O-18,1,18,事務所等,湯沸室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,5 
O-19,1,19,事務所等,食品庫等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,10 
O-20,1,20,事務所等,コピー室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,10 
O-21,1,21,事務所等,厨芥置き場等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,29 
H-1,2,1,ホテル等,客室,100,100,100,100,100,100,100,100,723 ,723 ,723 ,723 ,723 ,723 ,723 ,723 ,425 ,0 
H-2,2,2,ホテル等,客室(洗面）,100,100,100,100,100,100,100,100,723 ,723 ,723 ,723 ,723 ,723 ,723 ,723 ,123 ,0 
H-3,2,3,ホテル等,宴会場（高発熱）,100,100,100,100,100,100,100,100,166 ,166 ,166 ,166 ,166 ,166 ,166 ,166 ,342 ,0 
H-4,2,4,ホテル等,宴会場（低発熱）,100,100,100,100,100,100,100,100,166 ,166 ,166 ,166 ,166 ,166 ,166 ,166 ,466 ,0 
H-5,2,5,ホテル等,宴会場（結婚式場）,100,100,100,100,100,100,100,100,71 ,71 ,71 ,71 ,71 ,71 ,71 ,71 ,342 ,0 
H-6,2,6,ホテル等,レストラン,100,100,100,100,100,100,100,100,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,370 ,0 
H-7,2,7,ホテル等,ラウンジ（終日）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,399 ,0 
H-8,2,8,ホテル等,ラウンジ（夜）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,85 ,0 
H-9,2,9,ホテル等,店舗,100,100,100,100,100,100,100,100,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,381 ,0 
H-10,2,10,ホテル等,事務室（終日）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,1394 ,0 
H-11,2,11,ホテル等,事務室（昼）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,871 ,0 
H-12,2,12,ホテル等,食堂,100,100,100,100,100,100,100,100,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,598 ,0 
H-13,2,13,ホテル等,更衣室,100,100,100,100,100,100,100,100,388 ,388 ,388 ,388 ,388 ,388 ,388 ,388 ,419 ,21 
H-14,2,14,ホテル等,廊下（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,205 ,0 
H-15,2,15,ホテル等,ロビー（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,684 ,0 
H-16,2,16,ホテル等,フロント（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2565 ,0 
H-17,2,17,ホテル等,トイレ（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,419 ,43 
H-18,2,18,ホテル等,喫煙室（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,419 ,129 
H-19,2,19,ホテル等,廊下（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111 ,0 
H-20,2,20,ホテル等,ロビー（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,370 ,0 
H-21,2,21,ホテル等,フロント（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1389 ,0 
H-22,2,22,ホテル等,トイレ（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,227 ,23 
H-23,2,23,ホテル等,喫煙室（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,227 ,70 
H-24,2,24,ホテル等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,344 ,392 
H-25,2,25,ホテル等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,154 ,258 
H-26,2,26,ホテル等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,43 
H-27,2,27,ホテル等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,86 
H-28,2,28,ホテル等,湯沸室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,8 
H-29,2,29,ホテル等,食品庫等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,16 
H-30,2,30,ホテル等,コピー室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,16 
H-31,2,31,ホテル等,厨芥置き場等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,47 
D-1,3,1,病院等,病室,100,100,100,100,100,100,100,100,1423 ,1423 ,1423 ,1423 ,1423 ,1423 ,1423 ,1423 ,219 ,0 
D-2,3,2,病院等,スタッフステーション,100,100,100,100,100,100,100,100,1423 ,1423 ,1423 ,1423 ,1423 ,1423 ,1423 ,1423 ,544 ,0 
D-3,3,3,病院等,外来診療（診察室）,100,100,100,100,100,100,100,100,165 ,165 ,165 ,165 ,165 ,165 ,165 ,165 ,300 ,0 
D-4,3,4,病院等,外来診療（待合室）,100,100,100,100,100,100,100,100,165 ,165 ,165 ,165 ,165 ,165 ,165 ,165 ,121 ,0 
D-5,3,5,病院等,中央診療（手術室）,100,100,100,100,100,100,100,100,315 ,315 ,315 ,315 ,315 ,315 ,315 ,315 ,618 ,0 
D-6,3,6,病院等,中央診療（検査室）,100,100,100,100,100,100,100,100,315 ,315 ,315 ,315 ,315 ,315 ,315 ,315 ,311 ,0 
D-7,3,7,病院等,ICU,100,100,100,100,100,100,100,100,394 ,394 ,394 ,394 ,394 ,394 ,394 ,394 ,932 ,0 
D-8,3,8,病院等,売店,100,100,100,100,100,100,100,100,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,312 ,0 
D-9,3,9,病院等,事務室,100,100,100,100,100,100,100,100,38 ,38 ,38 ,38 ,38 ,38 ,38 ,38 ,280 ,0 
D-10,3,10,病院等,廊下（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,376 ,0 
D-11,3,11,病院等,トイレ（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,419 ,43 
D-12,3,12,病院等,喫煙室（終日）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,419 ,129 
D-13,3,13,病院等,廊下（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,125 ,0 
D-14,3,14,病院等,トイレ（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,140 ,14 
D-15,3,15,病院等,喫煙室（昼）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,140 ,43 
D-16,3,16,病院等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,590 ,674 
D-17,3,17,病院等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,154 ,258 
D-18,3,18,病院等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,43 
D-19,3,19,病院等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,86 
D-20,3,20,病院等,湯沸室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,13 
D-21,3,21,病院等,食品庫等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,27 
D-22,3,22,病院等,コピー室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,27 
D-23,3,23,病院等,厨芥置き場等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,81 
S-1,4,1,物品販売業を営む店舗等,売場（大型店）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,621 ,0 
S-2,4,2,物品販売業を営む店舗等,売場（専門店）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,496 ,0 
S-3,4,3,物品販売業を営む店舗等,売場（レジャー店）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,370 ,0 
S-4,4,4,物品販売業を営む店舗等,売場（スーパーマーケット）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,509 ,0 
S-5,4,5,物品販売業を営む店舗等,事務室,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,755 ,0 
S-6,4,6,物品販売業を営む店舗等,会議室,100,100,100,100,100,100,100,100,95 ,95 ,95 ,95 ,95 ,95 ,95 ,95 ,185 ,0 
S-7,4,7,物品販売業を営む店舗等,ロビー,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,829 ,0 
S-8,4,8,物品販売業を営む店舗等,バックヤード,100,100,100,100,100,100,100,100,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,94 ,0 
S-9,4,9,物品販売業を営む店舗等,トイレ,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,204 ,23 
S-10,4,10,物品販売業を営む店舗等,喫煙室,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,204 ,70 
S-11,4,11,物品販売業を営む店舗等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,365 ,417 
S-12,4,12,物品販売業を営む店舗等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,97 ,258 
S-13,4,13,物品販売業を営む店舗等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,43 
S-14,4,14,物品販売業を営む店舗等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,86 
S-15,4,15,物品販売業を営む店舗等,湯沸室,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,8 
S-16,4,16,物品販売業を営む店舗等,食品庫,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,17 
S-17,4,17,物品販売業を営む店舗等,コピー室,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,17 
S-18,4,18,物品販売業を営む店舗等,厨芥置き場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,50 
E-1,5,1,学校等,教室（幼小中高）,100,100,100,100,100,100,100,100,117 ,117 ,117 ,117 ,117 ,117 ,117 ,117 ,182 ,0 
E-2,5,2,学校等,教室（幼小中高）(給食あり）,100,100,100,100,100,100,100,100,308 ,308 ,308 ,308 ,308 ,308 ,308 ,308 ,182 ,0 
E-3,5,3,学校等,職員室（幼小中高）,100,100,100,100,100,100,100,100,47 ,47 ,47 ,47 ,47 ,47 ,47 ,47 ,231 ,0 
E-4,5,4,学校等,食堂（幼小中高）,100,100,100,100,100,100,100,100,1075 ,1075 ,1075 ,1075 ,1075 ,1075 ,1075 ,1075 ,42 ,0 
E-5,5,5,学校等,教室（大学）,100,100,100,100,100,100,100,100,117 ,117 ,117 ,117 ,117 ,117 ,117 ,117 ,228 ,0 
E-6,5,6,学校等,食堂（大学）,100,100,100,100,100,100,100,100,2954 ,2954 ,2954 ,2954 ,2954 ,2954 ,2954 ,2954 ,223 ,0 
E-7,5,7,学校等,事務室,100,100,100,100,100,100,100,100,31 ,31 ,31 ,31 ,31 ,31 ,31 ,31 ,322 ,0 
E-8,5,8,学校等,研究室,100,100,100,100,100,100,100,100,38 ,38 ,38 ,38 ,38 ,38 ,38 ,38 ,373 ,0 
E-9,5,9,学校等,特殊教室（計算機室等）,100,100,100,100,100,100,100,100,78 ,78 ,78 ,78 ,78 ,78 ,78 ,78 ,205 ,0 
E-10,5,10,学校等,特殊教室（精密実験室等）,100,100,100,100,100,100,100,100,78 ,78 ,78 ,78 ,78 ,78 ,78 ,78 ,514 ,0 
E-11,5,11,学校等,特殊教室（製図室等）,100,100,100,100,100,100,100,100,78 ,78 ,78 ,78 ,78 ,78 ,78 ,78 ,386 ,0 
E-12,5,12,学校等,講堂,100,100,100,100,100,100,100,100,110 ,110 ,110 ,110 ,110 ,110 ,110 ,110 ,62 ,0 
E-13,5,13,学校等,宿直室,100,100,100,100,100,100,100,100,727 ,727 ,727 ,727 ,727 ,727 ,727 ,727 ,425 ,0 
E-14,5,14,学校等,トイレ,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,115 ,12 
E-15,5,15,学校等,喫煙室,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,115 ,35 
E-16,5,16,学校等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,129 ,147 
E-17,5,17,学校等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53 ,258 
E-18,5,18,学校等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,43 
E-19,5,19,学校等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,86 
E-20,5,20,学校等,湯沸室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,3 
E-21,5,21,学校等,食品庫等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,6 
E-22,5,22,学校等,コピー室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,6 
E-23,5,23,学校等,厨芥置き場等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,9 
R-1,6,1,飲食店等,客席(レストラン等),100,100,100,100,100,100,100,100,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,3003 ,625 ,0 
R-2,6,2,飲食店等,客席(軽食等),100,100,100,100,100,100,100,100,1001 ,1001 ,1001 ,1001 ,1001 ,1001 ,1001 ,1001 ,463 ,0 
R-3,6,3,飲食店等,喫茶室,100,100,100,100,100,100,100,100,2002 ,2002 ,2002 ,2002 ,2002 ,2002 ,2002 ,2002 ,321 ,0 
R-4,6,4,飲食店等,バー,100,100,100,100,100,100,100,100,1602 ,1602 ,1602 ,1602 ,1602 ,1602 ,1602 ,1602 ,21 ,0 
R-5,6,5,飲食店等,ロビー,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,370 ,0 
R-6,6,6,飲食店等,クロークカウンタ,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,509 ,0 
R-7,6,7,飲食店等,廊下,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111 ,0 
