ID,名称,窓種,品種番号,ブラインド
1,SNGL72,SNGL,72,0
1,SNGL72_0,SNGL,72,0
2,SNGL3,SNGL,3,1
3,DL60,DL60,13,2
4,DL12,DL12,6,3
5,シングル21,SNGL,21,1
6,ダブル60,DL60,13,2
7,ダブル12,DL12,6,3
8,単板_5_ブラインドなし,SNGL,2,0
9,単板_5_ブラインド明色,SNGL,2,1
10,単板_5_ブラインド中間色,SNGL,2,2
11,単板_5_ブラインド暗色,SNGL,2,3
12,単板_6_ブラインドなし,SNGL,3,0
13,単板_6_ブラインド明色,SNGL,3,1
14,単板_6_ブラインド中間色,SNGL,3,2
15,単板_6_ブラインド暗色,SNGL,3,3
16,単板_8_ブラインドなし,SNGL,4,0
17,単板_8_ブラインド明色,SNGL,4,1
18,単板_8_ブラインド中間色,SNGL,4,2
19,単板_8_ブラインド暗色,SNGL,4,3
20,複層_5+6+5_ブラインドなし,DL12,2,0
21,複層_5+6+5_ブラインド明色,DL12,2,1
22,複層_5+6+5_ブラインド中間色,DL12,2,2
23,複層_5+6+5_ブラインド暗色,DL12,2,3
24,複層_6+6+6_ブラインドなし,DL12,3,0
25,複層_6+6+6_ブラインド明色,DL12,3,1
26,複層_6+6+6_ブラインド中間色,DL12,3,2
27,複層_6+6+6_ブラインド暗色,DL12,3,3
28,複層_8+6+8_ブラインドなし,DL12,4,0
29,複層_8+6+8_ブラインド明色,DL12,4,1
30,複層_8+6+8_ブラインド中間色,DL12,4,2
31,複層_8+6+8_ブラインド暗色,DL12,4,3
