検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,室用途詳細,カレンダーパターンコード,WSCパターン,照明発熱参照値,人体発熱参照値,機器発熱参照値,作業強度指数,外気導入量,パターン1空調開始時刻1,パターン1空調終了時刻1,パターン1空調開始時刻2,パターン1空調終了時刻2,パターン2空調開始時刻1,パターン2空調終了時刻1,パターン2空調開始時刻2,パターン2空調終了時刻2
1月1日,1,1,事務所等,事務室,事務室,1,WSC1,12,0.1,12,3,5,7,21,,,,0,,
1月2日,1,2,事務所等,会議室,会議室、講義室、喫茶室等,1,WSC1,10,0.25,2,3,12,8,18,,,,0,,
1月3日,1,3,事務所等,ロビー,ロビー、ホール等,1,WSC1,15,0.03,0,3,2.5,8,21,,,,0,,
1月4日,1,4,事務所等,図書館,（図書館）書架、閲覧室,5,WSC1,15,0.2,3,3,7,8,19,,,8,19,,
1月5日,1,5,事務所等,博物館,（博物館）展示室,5,WSC1,15,0.03,0,3,6,8,17,,,8,17,,
1月7日,1,7,事務所等,電算室,電算室,1,WSC2,4,0,500,-1,0,0,24,,,0,24,,
1月8日,1,8,事務所等,廊下,廊下,1,WSC1,15,0.1,0,3,2.5,7,20,,,,0,,
1月9日,1,9,事務所等,事務室（高）,事務室（高発熱）,1,WSC1,12,0.1,30,3,5,7,21,,,,0,,
1月10日,1,10,事務所等,中央監視室,中央監視室、守衛室,1,WSC2,20,0.15,30,3,4,0,24,,,0,24,,
1月11日,1,11,事務所等,更衣室等,更衣室、書庫、倉庫,1,WSC1,15,0.3,0,3,4,7,21,,,,0,,
1月12日,1,12,事務所等,社食,社員食堂,1,WSC1,30,0.5,0,3,15,11,14,,,,0,,
2月1日,2,1,ホテル等,客室,客室,1,WSC2,15,0.07,4,1,4,0,10,19,24,0,10,19,24
2月2日,2,2,ホテル等,結婚式場,宴会場（結婚式場）,1,WSC2,30,0.3,0,3,7.5,8,20,,,8,20,,
2月3日,2,3,ホテル等,宴会場（高）,宴会場（高発熱）,1,WSC2,100,0.7,12,5,20,9,21,,,9,21,,
2月4日,2,4,ホテル等,宴会場（低）,宴会場（低発熱）,1,WSC2,50,0.7,0,5,20,9,21,,,9,21,,
2月5日,2,5,ホテル等,ロビー（客）,ロビー（客室部）,1,WSC2,20,0.1,0,3,2.5,0,24,,,0,24,,
2月6日,2,6,ホテル等,ロビー（宴）,ロビー（宴会場）,1,WSC2,35,0.2,0,3,7.5,8,21,,,8,21,,
2月7日,2,7,ホテル等,レストラン,レストラン,1,WSC2,30,0.5,0,3,12.5,6,21,,,6,21,,
2月8日,2,8,ホテル等,ラウンジ（全）,ラウンジ（全日）,1,WSC2,20,0.2,0,3,5,7,21,,,7,21,,
2月9日,2,9,ホテル等,ラウンジ（夜）,ラウンジ（夜間）,1,WSC2,10,0.2,0,3,5,18,24,,,18,24,,
2月10日,2,10,ホテル等,売り場,店舗,1,WSC2,60,0.1,0,3,10,9,19,,,9,19,,
2月11日,2,11,ホテル等,事務室（昼）,事務室（昼間のみ使用）,1,WSC2,20,0.2,10,3,5,7,21,,,7,22,,
2月12日,2,12,ホテル等,廊下（客）,廊下（客室部）,1,WSC2,10,0.05,0,3,2.5,0,24,,,0,24,,
