åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,0.6,3.3,-2.0,2.3,2.4,2.3,4039.0,2611.3,805.3,5.2,.0,16.6,1058.7,2947.6,1740.3,497.7,716.4,1225.2,2450.4
1,2,0,-0.4,2.3,-3.0,2.3,2.3,2.2,3368.5,1939.3,480.7,5.0,.0,16.4,997.1,2713.1,1474.1,549.0,839.7,1127.5,2255.1
1,3,0,0.8,3.5,-1.9,2.3,2.4,2.2,4520.7,3125.2,1132.3,27.3,.0,19.7,1156.9,3172.8,1897.9,468.5,644.3,1232.2,2464.4
1,4,1,0.1,3.0,-2.9,2.1,2.1,2.2,4692.6,3254.9,1193.6,30.2,.0,21.6,1210.4,3292.6,1973.6,457.0,615.2,1189.2,2378.3
1,5,2,3.5,4.3,2.6,3.2,3.2,3.3,675.3,443.9,199.5,5.1,.0,1.2,203.9,488.4,275.4,586.8,1036.2,604.8,1209.5
1,6,3,6.1,7.0,5.2,4.7,4.8,4.6,73.4,54.7,28.8,1.3,.0,.7,26.3,52.4,25.5,328.5,594.3,300.6,601.3
1,7,4,6.5,7.1,5.8,4.1,4.0,4.3,654.5,568.2,156.0,2.4,.0,1.3,43.0,326.2,323.1,526.1,923.4,540.2,1080.4
1,8,5,6.7,7.2,6.2,5.2,5.3,5.1,120.3,118.3,67.2,1.5,.0,1.0,26.5,56.7,41.6,368.0,664.1,507.6,1015.3
1,9,6,3.8,5.8,1.9,2.4,2.2,2.7,4043.4,2717.1,925.6,13.9,.0,19.7,1050.5,2883.0,1809.3,524.0,758.3,1089.7,2179.5
1,10,7,1.1,2.4,-0.2,1.7,1.8,1.7,2255.1,1322.7,561.2,20.3,.0,19.2,868.7,1900.9,901.8,634.2,1051.4,1104.3,2208.5
1,11,1,0.9,3.1,-1.4,1.7,1.8,1.6,4581.8,3166.1,1171.2,29.9,.0,27.1,1220.8,3242.1,2035.4,479.8,652.4,1285.7,2571.4
1,12,0,0.8,3.6,-2.0,2.3,2.3,2.3,4486.6,3100.0,1153.9,30.7,.0,27.9,1208.4,3183.4,2007.5,494.0,681.5,1253.1,2506.3
1,13,3,3.3,5.5,1.1,2.7,2.7,2.8,3858.8,2532.3,873.5,12.2,.0,25.7,1089.6,2833.5,1773.5,557.3,823.4,1122.9,2245.8
1,14,4,1.6,3.2,-0.1,1.9,2.0,1.8,4301.0,2922.4,1089.2,34.2,.0,29.0,1203.7,3128.7,1953.5,520.6,736.2,1246.7,2493.5
1,15,5,1.6,4.0,-0.8,2.3,2.3,2.3,4519.8,3116.3,1163.3,31.4,.0,31.2,1234.2,3220.7,2088.9,497.9,681.5,1264.8,2529.5
1,16,6,0.1,3.0,-2.7,2.2,2.2,2.2,4144.8,2915.9,1092.5,29.4,.0,19.7,1040.1,2864.7,1965.3,536.4,766.4,1250.2,2500.5
1,17,7,3.2,5.9,0.4,2.7,2.8,2.6,4034.1,2757.3,990.0,20.2,.0,22.6,1057.5,2854.6,1948.0,550.2,794.3,1155.4,2310.9
1,18,1,2.2,1.6,2.8,3.5,3.7,3.2,40.0,31.6,15.9,.5,.0,.6,13.3,26.4,16.8,293.4,531.5,335.5,671.1
1,19,2,1.7,3.5,-0.2,3.3,3.3,3.2,2449.6,1225.9,288.5,3.6,.0,23.3,905.9,2183.1,1225.3,692.3,1130.4,717.0,1434.0
1,20,3,1.4,3.5,-0.7,2.7,2.6,2.8,3343.1,2328.8,816.4,32.5,.0,8.5,750.3,2324.3,1711.4,621.7,952.5,984.5,1969.0
1,21,4,-0.1,1.7,-2.0,2.3,2.3,2.2,4069.6,2729.8,970.6,16.7,.0,32.8,1146.7,2950.8,2056.8,560.0,802.5,1103.7,2207.4
1,22,5,-1.4,0.0,-2.7,1.7,1.6,1.7,2348.7,1442.6,743.9,19.1,.0,33.0,1024.5,1920.0,1055.3,650.2,1065.3,1058.9,2117.8
1,23,6,-2.1,0.6,-4.8,1.9,1.9,1.8,4663.8,3234.4,1259.7,39.5,.0,45.8,1354.5,3358.9,2359.8,509.7,678.0,1213.0,2426.0
1,24,7,0.5,3.8,-2.9,2.2,2.3,2.1,4493.0,3100.1,1218.7,42.9,.0,45.8,1330.0,3274.4,2295.1,535.2,731.5,1236.3,2472.5
1,25,1,1.7,4.7,-1.3,2.6,2.7,2.5,4445.5,3020.3,1166.1,34.8,.0,83.2,1424.8,3323.5,2295.9,546.7,753.6,1239.2,2478.4
1,26,2,3.2,7.3,-0.9,2.4,2.5,2.4,4388.8,3002.6,1175.6,38.8,.0,84.2,1408.1,3271.3,2296.6,560.5,779.2,1284.5,2569.1
